sid,grp,cnd,range,pc1,pc2,pc3,pc4,lrn1,lrn2,lrn3,lrn4
0,0,0,11,0.93333333,0.73333333,0.20000000,0.80000000,3.00000000,6.00000000,8.00000000,6.00000000
1,0,0,1,0.66666667,0.73333333,0.73333333,0.66666667,10.00000000,10.00000000,10.00000000,10.00000000
2,0,0,4,0.66666667,0.60000000,0.40000000,0.53333333,2.00000000,8.00000000,7.00000000,7.00000000
3,0,1,6,0.86666667,0.86666667,0.80000000,0.46666667,5.00000000,4.00000000,10.00000000,9.00000000
4,0,0,2,0.66666667,0.53333333,0.60000000,0.53333333,4.00000000,8.00000000,8.00000000,8.00000000
5,0,0,3,0.73333333,0.53333333,0.66666667,0.66666667,9.00000000,2.00000000,9.00000000,8.00000000
6,0,0,7,0.60000000,1.00000000,0.53333333,0.53333333,6.00000000,1.00000000,10.00000000,10.00000000
7,0,1,6,0.86666667,0.66666667,0.66666667,0.46666667,1.00000000,1.00000000,10.00000000,7.00000000
8,0,1,3,0.60000000,0.73333333,0.53333333,0.60000000,9.00000000,6.00000000,9.00000000,9.00000000
9,0,1,6,0.73333333,0.66666667,0.60000000,0.33333333,9.00000000,3.00000000,1.00000000,1.00000000
10,0,0,5,0.73333333,0.60000000,0.40000000,0.46666667,10.00000000,10.00000000,10.00000000,10.00000000
11,0,0,5,0.73333333,0.86666667,0.60000000,0.53333333,3.00000000,2.00000000,7.00000000,9.00000000
12,0,1,6,0.73333333,0.33333333,0.73333333,0.53333333,4.00000000,9.00000000,4.00000000,9.00000000
13,0,1,9,0.53333333,0.80000000,0.20000000,0.40000000,10.00000000,7.00000000,10.00000000,9.00000000
14,0,0,1,0.40000000,0.46666667,0.40000000,0.46666667,9.00000000,9.00000000,9.00000000,9.00000000
15,0,1,3,0.40000000,0.53333333,0.40000000,0.33333333,8.00000000,8.00000000,8.00000000,8.00000000
16,0,1,4,0.73333333,0.86666667,0.66666667,0.60000000,10.00000000,6.00000000,10.00000000,10.00000000
17,0,1,9,0.53333333,0.93333333,0.33333333,0.46666667,8.00000000,6.00000000,8.00000000,9.00000000
18,0,1,7,0.53333333,0.80000000,0.60000000,0.33333333,9.00000000,10.00000000,7.00000000,8.00000000
19,0,0,7,0.86666667,0.73333333,0.66666667,0.40000000,2.00000000,6.00000000,8.00000000,8.00000000
20,0,0,4,0.73333333,0.80000000,0.53333333,0.80000000,8.00000000,6.00000000,10.00000000,8.00000000
21,0,1,7,0.73333333,0.80000000,0.33333333,0.60000000,4.00000000,5.00000000,8.00000000,5.00000000
22,0,0,10,1.00000000,0.60000000,0.33333333,0.46666667,5.00000000,7.00000000,9.00000000,5.00000000
23,0,1,3,0.46666667,0.46666667,0.40000000,0.60000000,10.00000000,10.00000000,10.00000000,10.00000000
24,0,0,6,0.73333333,0.86666667,0.60000000,0.46666667,10.00000000,6.00000000,10.00000000,4.00000000
25,0,1,5,0.73333333,0.86666667,0.60000000,0.53333333,8.00000000,8.00000000,8.00000000,8.00000000
26,0,1,6,0.86666667,0.73333333,0.80000000,0.46666667,4.00000000,4.00000000,4.00000000,10.00000000
27,0,0,2,0.73333333,0.73333333,0.73333333,0.60000000,10.00000000,10.00000000,10.00000000,1.00000000
28,0,0,3,0.73333333,0.66666667,0.53333333,0.60000000,10.00000000,10.00000000,10.00000000,10.00000000
29,0,1,9,0.73333333,0.93333333,0.60000000,0.33333333,3.00000000,3.00000000,8.00000000,9.00000000
30,0,0,3,0.80000000,0.80000000,0.66666667,0.60000000,4.00000000,3.00000000,7.00000000,8.00000000
31,0,0,6,0.86666667,0.46666667,0.53333333,0.53333333,2.00000000,7.00000000,9.00000000,10.00000000
32,0,1,4,0.80000000,0.60000000,0.66666667,0.53333333,1.00000000,9.00000000,7.00000000,9.00000000
33,0,0,3,0.73333333,0.80000000,0.60000000,0.60000000,6.00000000,4.00000000,9.00000000,10.00000000
34,0,0,6,0.80000000,0.93333333,0.53333333,0.66666667,1.00000000,1.00000000,10.00000000,1.00000000
35,0,1,5,0.66666667,0.93333333,0.80000000,0.60000000,7.00000000,3.00000000,3.00000000,8.00000000
36,0,0,7,0.86666667,0.46666667,0.60000000,0.40000000,10.00000000,10.00000000,10.00000000,10.00000000
37,0,1,8,0.66666667,0.80000000,0.26666667,0.46666667,10.00000000,5.00000000,3.00000000,5.00000000
38,0,1,7,0.86666667,0.53333333,0.46666667,0.40000000,10.00000000,10.00000000,10.00000000,10.00000000
39,0,1,8,0.13333333,0.66666667,0.33333333,0.60000000,8.00000000,3.00000000,8.00000000,3.00000000
40,0,0,10,0.73333333,0.06666667,0.20000000,0.53333333,10.00000000,10.00000000,10.00000000,10.00000000
41,0,1,6,0.60000000,0.80000000,0.40000000,0.46666667,8.00000000,5.00000000,10.00000000,10.00000000
42,0,1,1,0.66666667,0.66666667,0.66666667,0.60000000,8.00000000,8.00000000,8.00000000,8.00000000
43,0,0,5,0.86666667,0.53333333,0.53333333,0.60000000,3.00000000,8.00000000,9.00000000,7.00000000
44,0,1,4,0.80000000,0.86666667,0.60000000,0.60000000,1.00000000,8.00000000,5.00000000,7.00000000
45,0,1,4,0.73333333,0.86666667,0.60000000,0.66666667,8.00000000,8.00000000,8.00000000,8.00000000
46,0,1,3,0.60000000,0.46666667,0.40000000,0.40000000,8.00000000,7.00000000,8.00000000,8.00000000
47,0,0,9,0.80000000,0.33333333,0.60000000,0.20000000,4.00000000,8.00000000,7.00000000,9.00000000
48,0,0,9,0.86666667,1.00000000,0.73333333,0.40000000,1.00000000,1.00000000,1.00000000,10.00000000
49,0,0,5,0.80000000,0.73333333,0.46666667,0.53333333,10.00000000,8.00000000,2.00000000,4.00000000
50,0,1,7,0.93333333,0.73333333,0.53333333,0.46666667,3.00000000,3.00000000,3.00000000,9.00000000
51,0,1,6,0.66666667,0.33333333,0.60000000,0.26666667,6.00000000,8.00000000,8.00000000,8.00000000
52,0,0,7,0.93333333,0.66666667,0.53333333,0.46666667,10.00000000,9.00000000,2.00000000,2.00000000
53,0,1,5,0.66666667,0.33333333,0.46666667,0.46666667,10.00000000,7.00000000,8.00000000,7.00000000
54,0,0,7,0.80000000,0.40000000,0.46666667,0.33333333,4.00000000,10.00000000,10.00000000,10.00000000
55,0,1,7,0.86666667,0.73333333,0.46666667,0.40000000,4.00000000,9.00000000,10.00000000,10.00000000
56,0,1,4,0.80000000,0.73333333,0.60000000,0.53333333,2.00000000,3.00000000,4.00000000,10.00000000
57,0,1,8,0.86666667,0.53333333,0.33333333,0.53333333,6.00000000,8.00000000,8.00000000,8.00000000
58,0,0,5,0.60000000,0.60000000,0.80000000,0.46666667,10.00000000,10.00000000,10.00000000,10.00000000
59,0,0,8,0.86666667,0.33333333,0.53333333,0.40000000,2.00000000,8.00000000,8.00000000,8.00000000
60,0,0,4,0.86666667,0.80000000,0.66666667,0.60000000,8.00000000,9.00000000,7.00000000,6.00000000
61,0,0,4,0.66666667,0.66666667,0.93333333,0.80000000,10.00000000,7.00000000,6.00000000,6.00000000
62,0,0,6,0.46666667,0.53333333,0.40000000,0.80000000,5.00000000,10.00000000,2.00000000,7.00000000
63,0,1,10,0.73333333,0.66666667,0.86666667,0.20000000,9.00000000,9.00000000,9.00000000,10.00000000
64,0,1,6,0.80000000,0.40000000,0.80000000,0.60000000,3.00000000,10.00000000,3.00000000,10.00000000
65,0,1,7,0.73333333,0.26666667,0.46666667,0.66666667,6.00000000,10.00000000,10.00000000,9.00000000
66,0,0,10,0.86666667,0.80000000,0.40000000,0.20000000,1.00000000,2.00000000,7.00000000,10.00000000
67,0,0,0,0.53333333,0.53333333,0.53333333,0.53333333,7.00000000,5.00000000,10.00000000,7.00000000
68,0,1,7,1.00000000,0.60000000,0.53333333,0.66666667,4.00000000,9.00000000,10.00000000,6.00000000
69,0,0,4,0.73333333,0.46666667,0.53333333,0.60000000,8.00000000,10.00000000,5.00000000,7.00000000
70,0,0,4,0.80000000,0.66666667,0.53333333,0.53333333,1.00000000,1.00000000,10.00000000,10.00000000
71,0,1,4,0.80000000,0.66666667,0.53333333,0.53333333,10.00000000,10.00000000,10.00000000,10.00000000
72,0,0,3,0.53333333,0.60000000,0.53333333,0.40000000,3.00000000,6.00000000,9.00000000,10.00000000
73,0,1,5,0.73333333,0.66666667,0.40000000,0.40000000,7.00000000,9.00000000,9.00000000,9.00000000
74,0,1,3,0.53333333,0.60000000,0.66666667,0.46666667,6.00000000,6.00000000,6.00000000,5.00000000
75,0,1,5,0.73333333,0.66666667,0.40000000,0.60000000,5.00000000,10.00000000,10.00000000,10.00000000
76,0,0,5,0.33333333,0.66666667,0.53333333,0.60000000,1.00000000,10.00000000,7.00000000,10.00000000
77,0,1,7,0.80000000,0.46666667,0.60000000,0.33333333,1.00000000,9.00000000,9.00000000,9.00000000
78,0,0,8,0.73333333,0.60000000,0.53333333,0.20000000,9.00000000,8.00000000,8.00000000,8.00000000
79,0,1,5,0.80000000,0.73333333,0.80000000,0.46666667,1.00000000,1.00000000,6.00000000,6.00000000
80,0,1,4,0.66666667,0.80000000,0.73333333,0.53333333,10.00000000,9.00000000,3.00000000,7.00000000
81,0,0,7,0.46666667,0.86666667,0.40000000,0.46666667,9.00000000,1.00000000,6.00000000,6.00000000
82,0,0,3,0.60000000,0.60000000,0.40000000,0.53333333,7.00000000,4.00000000,8.00000000,4.00000000
83,0,1,3,0.60000000,0.40000000,0.40000000,0.46666667,7.00000000,9.00000000,9.00000000,8.00000000
84,0,0,6,0.80000000,0.80000000,0.86666667,0.46666667,3.00000000,4.00000000,6.00000000,7.00000000
85,0,1,5,0.73333333,0.60000000,0.60000000,0.40000000,9.00000000,9.00000000,8.00000000,6.00000000
86,0,1,5,0.86666667,0.60000000,0.53333333,0.66666667,3.00000000,10.00000000,10.00000000,10.00000000
87,0,1,9,0.86666667,0.40000000,0.26666667,0.33333333,9.00000000,10.00000000,10.00000000,10.00000000
88,0,0,9,0.86666667,0.26666667,0.46666667,0.46666667,1.00000000,3.00000000,8.00000000,10.00000000
89,0,0,6,0.73333333,0.80000000,0.73333333,0.40000000,10.00000000,8.00000000,7.00000000,10.00000000
90,0,0,3,0.53333333,0.46666667,0.66666667,0.46666667,7.00000000,8.00000000,9.00000000,5.00000000
91,0,1,8,0.93333333,0.60000000,0.66666667,0.40000000,9.00000000,6.00000000,9.00000000,4.00000000
92,0,0,5,0.80000000,0.60000000,0.53333333,0.46666667,3.00000000,3.00000000,10.00000000,8.00000000
93,0,0,5,0.86666667,0.66666667,0.53333333,0.86666667,2.00000000,8.00000000,9.00000000,6.00000000
94,0,1,7,0.53333333,0.93333333,0.53333333,0.46666667,10.00000000,1.00000000,5.00000000,10.00000000
95,0,1,5,0.46666667,0.60000000,0.66666667,0.33333333,10.00000000,10.00000000,10.00000000,10.00000000
96,0,0,3,0.86666667,0.66666667,0.80000000,0.73333333,10.00000000,4.00000000,10.00000000,4.00000000
97,0,1,6,0.80000000,0.80000000,0.40000000,0.46666667,2.00000000,4.00000000,8.00000000,7.00000000
98,0,0,6,0.86666667,0.60000000,0.66666667,0.46666667,10.00000000,10.00000000,10.00000000,10.00000000
99,0,1,8,0.93333333,0.73333333,0.66666667,0.40000000,3.00000000,8.00000000,5.00000000,10.00000000
100,0,1,2,0.80000000,0.73333333,0.66666667,0.66666667,2.00000000,6.00000000,8.00000000,10.00000000
101,0,0,6,0.80000000,0.80000000,0.53333333,0.93333333,3.00000000,3.00000000,9.00000000,5.00000000
102,0,0,3,0.66666667,0.60000000,0.46666667,0.46666667,8.00000000,4.00000000,9.00000000,9.00000000
103,0,0,9,0.93333333,0.86666667,0.40000000,0.33333333,1.00000000,4.00000000,10.00000000,10.00000000
104,0,1,3,0.60000000,0.40000000,0.46666667,0.60000000,9.00000000,10.00000000,10.00000000,8.00000000
105,0,0,6,0.66666667,0.66666667,0.26666667,0.33333333,9.00000000,8.00000000,2.00000000,5.00000000
106,0,1,1,0.60000000,0.53333333,0.53333333,0.53333333,8.00000000,7.00000000,9.00000000,7.00000000
107,0,1,4,0.33333333,0.60000000,0.53333333,0.40000000,8.00000000,6.00000000,4.00000000,7.00000000
108,0,0,3,0.40000000,0.60000000,0.46666667,0.46666667,9.00000000,3.00000000,8.00000000,7.00000000
109,0,0,6,0.80000000,0.73333333,0.53333333,0.40000000,1.00000000,1.00000000,7.00000000,7.00000000
110,0,0,3,0.73333333,0.80000000,0.66666667,0.60000000,6.00000000,3.00000000,8.00000000,8.00000000
111,0,1,6,0.93333333,0.73333333,0.60000000,0.53333333,3.00000000,5.00000000,8.00000000,10.00000000
112,0,1,8,0.66666667,0.60000000,0.66666667,0.13333333,1.00000000,1.00000000,10.00000000,10.00000000
113,0,0,7,0.93333333,0.46666667,0.60000000,0.86666667,1.00000000,8.00000000,10.00000000,3.00000000
114,0,0,5,0.66666667,0.53333333,0.60000000,0.33333333,3.00000000,10.00000000,9.00000000,10.00000000
115,0,1,4,0.80000000,0.66666667,0.66666667,0.53333333,10.00000000,8.00000000,9.00000000,7.00000000
116,0,1,7,0.86666667,0.86666667,0.46666667,0.40000000,4.00000000,7.00000000,10.00000000,10.00000000
117,0,1,8,0.60000000,0.73333333,0.53333333,0.20000000,5.00000000,3.00000000,5.00000000,9.00000000
118,0,0,5,0.73333333,0.86666667,0.60000000,0.53333333,6.00000000,1.00000000,6.00000000,10.00000000
119,0,0,6,0.80000000,0.86666667,0.46666667,0.60000000,10.00000000,10.00000000,10.00000000,10.00000000
120,0,0,7,0.80000000,0.60000000,0.73333333,0.33333333,4.00000000,5.00000000,5.00000000,8.00000000
121,0,0,8,0.46666667,0.80000000,0.93333333,0.40000000,9.00000000,3.00000000,3.00000000,8.00000000
122,0,0,6,0.53333333,0.73333333,0.86666667,0.46666667,8.00000000,8.00000000,7.00000000,9.00000000
123,0,0,7,0.86666667,1.00000000,0.60000000,0.53333333,1.00000000,1.00000000,6.00000000,10.00000000
124,0,0,7,0.73333333,0.93333333,0.53333333,0.46666667,8.00000000,2.00000000,6.00000000,10.00000000
125,0,1,6,0.80000000,0.40000000,0.46666667,0.73333333,5.00000000,5.00000000,5.00000000,7.00000000
126,0,1,7,0.86666667,0.46666667,0.60000000,0.40000000,3.00000000,10.00000000,10.00000000,10.00000000
127,0,0,6,0.86666667,0.73333333,0.60000000,0.46666667,10.00000000,10.00000000,10.00000000,10.00000000
128,0,1,2,0.53333333,0.53333333,0.53333333,0.66666667,8.00000000,9.00000000,8.00000000,4.00000000
129,0,1,5,0.66666667,0.33333333,0.40000000,0.46666667,3.00000000,10.00000000,9.00000000,7.00000000
130,0,1,9,0.93333333,0.60000000,0.33333333,0.46666667,3.00000000,7.00000000,8.00000000,9.00000000
131,0,1,5,0.73333333,0.86666667,0.53333333,0.53333333,1.00000000,1.00000000,10.00000000,5.00000000
132,0,0,8,0.93333333,0.46666667,0.40000000,0.66666667,7.00000000,8.00000000,9.00000000,8.00000000
133,0,0,6,1.00000000,0.73333333,0.60000000,0.66666667,1.00000000,1.00000000,9.00000000,8.00000000
134,0,1,7,0.53333333,0.60000000,0.66666667,0.20000000,9.00000000,6.00000000,8.00000000,9.00000000
135,0,1,6,0.66666667,0.46666667,0.86666667,0.53333333,10.00000000,4.00000000,10.00000000,8.00000000
136,0,1,9,0.80000000,0.60000000,0.66666667,0.20000000,1.00000000,2.00000000,8.00000000,10.00000000
137,0,1,3,0.73333333,0.60000000,0.60000000,0.53333333,10.00000000,8.00000000,9.00000000,9.00000000
138,0,1,3,0.66666667,0.53333333,0.66666667,0.46666667,6.00000000,8.00000000,4.00000000,10.00000000
139,0,1,4,0.93333333,0.93333333,0.80000000,0.66666667,2.00000000,3.00000000,9.00000000,10.00000000
140,0,1,3,0.66666667,0.53333333,0.53333333,0.46666667,10.00000000,9.00000000,10.00000000,10.00000000
141,0,1,3,0.66666667,0.73333333,0.53333333,0.53333333,2.00000000,2.00000000,2.00000000,1.00000000
142,0,0,5,0.73333333,0.53333333,0.73333333,0.40000000,8.00000000,8.00000000,8.00000000,8.00000000
143,0,0,8,0.80000000,0.40000000,0.66666667,0.26666667,4.00000000,10.00000000,10.00000000,10.00000000
144,0,1,5,0.80000000,0.46666667,0.73333333,0.66666667,10.00000000,10.00000000,10.00000000,10.00000000
145,0,1,5,0.73333333,0.86666667,0.80000000,0.53333333,9.00000000,9.00000000,9.00000000,10.00000000
146,0,0,8,0.80000000,0.40000000,0.26666667,0.46666667,3.00000000,10.00000000,10.00000000,9.00000000
147,0,0,4,0.66666667,0.53333333,0.60000000,0.40000000,4.00000000,7.00000000,7.00000000,8.00000000
148,0,0,7,0.86666667,0.40000000,0.60000000,0.60000000,2.00000000,8.00000000,5.00000000,8.00000000
149,0,1,2,0.60000000,0.66666667,0.53333333,0.60000000,10.00000000,10.00000000,10.00000000,10.00000000
150,0,0,7,0.86666667,0.40000000,0.60000000,0.73333333,10.00000000,10.00000000,5.00000000,7.00000000
151,0,1,7,0.93333333,0.73333333,0.66666667,0.46666667,4.00000000,7.00000000,8.00000000,9.00000000
152,0,0,2,0.33333333,0.40000000,0.46666667,0.46666667,7.00000000,4.00000000,3.00000000,7.00000000
153,0,1,7,0.80000000,0.66666667,0.53333333,0.33333333,6.00000000,7.00000000,7.00000000,7.00000000
154,1,1,8,0.60000000,0.93333333,0.40000000,0.53333333,9.00000000,4.00000000,6.00000000,6.00000000
155,1,1,6,0.80000000,0.80000000,0.73333333,0.40000000,10.00000000,10.00000000,10.00000000,10.00000000
156,1,0,3,0.60000000,0.53333333,0.73333333,0.53333333,9.00000000,7.00000000,7.00000000,9.00000000
157,1,1,8,0.80000000,0.80000000,0.93333333,0.40000000,3.00000000,3.00000000,8.00000000,10.00000000
158,1,0,4,0.53333333,0.80000000,0.80000000,0.73333333,1.00000000,1.00000000,1.00000000,1.00000000
159,1,0,4,0.53333333,0.80000000,0.53333333,0.53333333,8.00000000,8.00000000,8.00000000,8.00000000
160,1,1,4,0.66666667,0.40000000,0.53333333,0.53333333,10.00000000,10.00000000,10.00000000,10.00000000
161,1,0,5,0.46666667,0.73333333,0.80000000,0.60000000,8.00000000,3.00000000,3.00000000,8.00000000
162,1,1,11,0.60000000,0.93333333,0.66666667,0.20000000,7.00000000,8.00000000,7.00000000,3.00000000
163,1,1,7,0.93333333,0.46666667,0.46666667,0.73333333,2.00000000,8.00000000,10.00000000,6.00000000
164,1,1,10,0.93333333,0.40000000,0.66666667,0.26666667,3.00000000,9.00000000,5.00000000,8.00000000
